epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1564744027,08/02/2019 07:07:07 -04:00,3,43.6222,-70.3022,04106,Gasoline ,,
1564747742,08/02/2019 08:09:02 -04:00,4,43.6307,-70.2735,04106,,,
1564971937,08/04/2019 22:25:37 -04:00,5,43.6311,-70.2745,04106,,,
1564980343,08/05/2019 00:45:43 -04:00,4,43.6272,-70.2793,04106,Carcinogenic tank fumes,,
1565038777,08/05/2019 16:59:37 -04:00,4,43.6497,-70.2745,04102,Smells like tar..  ,,Same smell as always.. from tanks in south Portland.
1565047407,08/05/2019 19:23:27 -04:00,4,43.662,-70.2529,04101,Tank fumes,,
1565047653,08/05/2019 19:27:33 -04:00,4,43.6633,-70.2479,04101,Tank fumes,,
1565048425,08/05/2019 19:40:25 -04:00,4,43.6418,-70.2415,04106,Oil,,
1565048474,08/05/2019 19:41:14 -04:00,4,43.648,-70.2362,04106,Tank fume,,
1565148862,08/06/2019 23:34:22 -04:00,3,43.6444,-70.2329,04106,Tanks,,
1565294806,08/08/2019 16:06:46 -04:00,4,43.6521,-70.2744,04102,Same as always..  oil tanks..  ,,
1565377371,08/09/2019 15:02:51 -04:00,4,43.636,-70.2672,04106,Smells like sewage,,
1565404755,08/09/2019 22:39:15 -04:00,5,43.63,-70.2741,04106,,,
1565445955,08/10/2019 10:05:55 -04:00,3,43.6427,-70.2326,04106,Oil,,
1565571243,08/11/2019 20:54:03 -04:00,3,43.6204,-70.2749,04106,Tank funes,,
1565572671,08/11/2019 21:17:51 -04:00,4,43.6636,-70.2487,04101,Gas? Oil tank farm,,
1565573607,08/11/2019 21:33:27 -04:00,4,43.6416,-70.2351,04106,Oil tanks,,
1565614504,08/12/2019 08:55:04 -04:00,1,43.6349,-70.2741,04106,,,
1565640596,08/12/2019 16:09:56 -04:00,4,43.6469,-70.2619,04102,Smells like raw sewage,Irritating,
1565695266,08/13/2019 07:21:06 -04:00,5,43.6305,-70.2754,04106,,,
1565697154,08/13/2019 07:52:34 -04:00,4,43.6327,-70.285,04106,Asphalt fumes ,,
1565739998,08/13/2019 19:46:38 -04:00,3,43.6511,-70.2321,04106,Tank farm,,
1565752901,08/13/2019 23:21:41 -04:00,4,43.627,-70.2776,04106,Petroleum of some sort,Sore throat,
1565786993,08/14/2019 08:49:53 -04:00,2,43.632,-70.2706,04106,,,
1565825033,08/14/2019 19:23:53 -04:00,4,43.6524,-70.2741,04102,Indistrial,,
1565826019,08/14/2019 19:40:19 -04:00,3,43.6644,-70.2466,04101,Gas,,
1565833912,08/14/2019 21:51:52 -04:00,5,43.6322,-70.2877,04106,Tank crude oil?,,
1565843948,08/15/2019 00:39:08 -04:00,3,43.6504,-70.2714,04102,Smells like fresh tarmac pavement,Unpleasant sulphuric odor ,
1565856305,08/15/2019 04:05:05 -04:00,5,43.634,-70.2712,04106,Oil/asphalt,"Nausea, woke me from sleep",
1565856411,08/15/2019 04:06:51 -04:00,5,43.6342,-70.2695,04106,,,
